ID,CNTYFIPS,Ori,State,Agency,Agentype,Solved,Year,Month,Homicide,Situation,VicAge,VicSex,VicRace,VicEthnic,OffAge,OffSex,OffRace,OffEthnic,Weapon,Relationship,Circumstance,Subcircum,VicCount,OffCount,MSA
201203001CA03616,"San Bernardino, CA",CA03616,California,Rancho Cucamonga,Municipal police,Yes,2012,March,Murder and non-negligent manslaughter,Single victim/single offender,41.0,Female,White,Not of Hispanic origin,50.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Wife,Other arguments,,0,0,"Riverside-San Bernardino, CA"
201105001MS04201,"Leflore, MS",MS04201,Mississippi,Greenwood,Municipal police,No,2011,May,Murder and non-negligent manslaughter,Single victim/unknown offender(s),20.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Robbery,,0,0,Rural Mississippi
201107026ILCPD00,"Cook, IL",ILCPD00,Illinois,Chicago,Municipal police,Yes,2011,July,Murder and non-negligent manslaughter,Single victim/single offender,37.0,Female,Black,Unknown or not reported,27.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Stranger,Other arguments,,0,0,"Chicago-Naperville-Joliet, IL-IN-WI"
201205003WASPD00,"King, WA",WASPD00,Washington,Seattle,Municipal police,No,2012,May,Murder and non-negligent manslaughter,Single victim/unknown offender(s),28.0,Male,Asian,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Robbery,,0,0,"Seattle-Tacoma-Bellevue, WA"
201705855FL04800,"Orange, FL",FL04800,Florida,Orange County,Sheriff,Yes,2017,May,Murder and non-negligent manslaughter,Multiple victims/single offender,55.0,Male,White,Unknown or not reported,0.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Brother,Other - not specified,,1,0,"Orlando-Kissimmee, FL"
201704001VA07100,"Pittsylvania, VA",VA07100,Virginia,Pittsylvania County,Sheriff,Yes,2017,April,Murder and non-negligent manslaughter,Single victim/single offender,18.0,Male,Black,Not of Hispanic origin,17.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,0,"Danville, VA"
201909005NM00101,"Bernalillo, NM",NM00101,New Mexico,Albuquerque,Municipal police,Yes,2019,September,Murder and non-negligent manslaughter,Single victim/single offender,30.0,Male,White,Hispanic origin,29.0,Male,White,Not of Hispanic origin,"Firearm, type not stated",Relationship not determined,Other,,0,0,"Albuquerque, NM"
201102001MA01460,"Worcester, MA",MA01460,Massachusetts,Worcester,Municipal police,Yes,2011,February,Murder and non-negligent manslaughter,Single victim/multiple offenders,4.0,Female,Unknown,Unknown or not reported,33.0,Male,White,Unknown or not reported,"Personal weapons, includes beating",Stepdaughter,Circumstances undetermined,,0,1,"Worcester, MA"
201009001NV00203,"Clark, NV",NV00203,Nevada,Henderson,Municipal police,Yes,2010,September,Murder and non-negligent manslaughter,Single victim/multiple offenders,23.0,Male,White,Unknown or not reported,19.0,Male,White,Unknown or not reported,Other or type unknown,Stranger,Narcotic drug laws,,0,2,"Las Vegas-Paradise, NV"
201008001TX06115,"Denton, TX",TX06115,Texas,The Colony,Municipal police,Yes,2010,August,Murder and non-negligent manslaughter,Single victim/single offender,79.0,Male,White,Not of Hispanic origin,57.0,Female,White,Not of Hispanic origin,Knife or cutting instrument,Boyfriend,Other arguments,,0,0,"Dallas-Fort Worth-Arlington, TX"
201712001PA05602,"Somerset, PA",PA05602,Pennsylvania,Somerset,Municipal police,Yes,2017,December,Murder and non-negligent manslaughter,Single victim/multiple offenders,0.0,Female,White,Not of Hispanic origin,28.0,Female,White,Not of Hispanic origin,Other or type unknown,Mother,Other - not specified,,0,1,Rural Pennsylvania
201602001OR01600,"Jefferson, OR",OR01600,Oregon,Jefferson County,Sheriff,Yes,2016,February,Murder and non-negligent manslaughter,Multiple victims/single offender,18.0,Male,White,Unknown or not reported,20.0,Male,White,Unknown or not reported,Rifle,Friend,Other,,1,0,Rural Oregon
201808012INIPD00,"Marion, IN",INIPD00,Indiana,Indianapolis,Municipal police,Yes,2018,August,Murder and non-negligent manslaughter,Single victim/multiple offenders,24.0,Male,Black,Not of Hispanic origin,18.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Stranger,Robbery,,0,2,"Indianapolis, IN"
201603022TNMPD00,"Shelby, TN",TNMPD00,Tennessee,Memphis,Municipal police,Yes,2016,March,Murder and non-negligent manslaughter,Single victim/single offender,24.0,Male,Black,Unknown or not reported,31.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Acquaintance,Other,,0,0,"Memphis, TN-MS-AR"
201001020ILCPD00,"Cook, IL",ILCPD00,Illinois,Chicago,Municipal police,Yes,2010,January,Murder and non-negligent manslaughter,Single victim/single offender,30.0,Female,White,Unknown or not reported,31.0,Male,White,Unknown or not reported,"Personal weapons, includes beating",Wife,Other,,0,0,"Chicago-Naperville-Joliet, IL-IN-WI"
201606007CA01942,"Los Angeles, CA",CA01942,California,Los Angeles,Municipal police,Yes,2016,June,Murder and non-negligent manslaughter,Multiple victims/single offender,24.0,Male,Black,Not of Hispanic origin,21.0,Male,White,Hispanic origin,Fire,Stranger,Other arguments,,4,0,"Los Angeles-Long Beach, CA"
201904001AZ01405,"Yuma, AZ",AZ01405,Arizona,Yuma,Municipal police,Yes,2019,April,Murder and non-negligent manslaughter,Single victim/single offender,53.0,Male,White,Not of Hispanic origin,46.0,Female,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Boyfriend,Other,,0,0,"Yuma, AZ"
201807188AL02902,"Elmore, AL",AL02902,Alabama,Tallassee,Municipal police,Yes,2018,July,Murder and non-negligent manslaughter,Single victim/single offender,75.0,Female,White,Unknown or not reported,65.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",In-law,Other arguments,,0,0,"Montgomery, AL"
201612002CA05604,"Ventura, CA",CA05604,California,Oxnard,Municipal police,Yes,2016,December,Murder and non-negligent manslaughter,Single victim/single offender,25.0,Male,White,Hispanic origin,24.0,Male,White,Hispanic origin,"Handgun - pistol, revolver, etc",Other - known to victim,Juvenile gang killings,,0,0,"Oxnard-Thousand Oaks-Ventura, CA"
201412034NY03030,"New York, NY",NY03030,New York,New York,Municipal police,Yes,2014,December,Murder and non-negligent manslaughter,Multiple victims/single offender,32.0,Male,Asian,Unknown or not reported,28.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Stranger,Other - not specified,,1,0,"New York-New Jersey-Long Island, NY-NJ"
201608449AL03102,"Etowah, AL",AL03102,Alabama,Gadsden,Municipal police,Yes,2016,August,Murder and non-negligent manslaughter,Single victim/single offender,65.0,Male,White,Unknown or not reported,47.0,Male,White,Unknown or not reported,"Blunt object - hammer, club, etc",Relationship not determined,Other - not specified,,0,0,"Gadsden, AL"
201806001MN06601,"Rice, MN",MN06601,Minnesota,Faribault,Municipal police,Yes,2018,June,Manslaughter by negligence,Single victim/single offender,38.0,Male,White,Not of Hispanic origin,27.0,Male,White,Not of Hispanic origin,Other or type unknown,Acquaintance,All other manslaughter by negligence,,0,0,Rural Minnesota
201009007NV00201,"Clark, NV",NV00201,Nevada,Las Vegas Metro Police Department,Municipal police,No,2010,September,Murder and non-negligent manslaughter,Single victim/unknown offender(s),30.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,0,"Las Vegas-Paradise, NV"
201304001KS08703,"Sedgwick, KS",KS08703,Kansas,Wichita,Municipal police,Yes,2013,April,Murder and non-negligent manslaughter,Single victim/single offender,43.0,Male,White,Unknown or not reported,50.0,Male,American Indian or Alaskan Native,Unknown or not reported,"Personal weapons, includes beating",Other - known to victim,Other arguments,,0,0,"Wichita, KS"
201310336FL01602,"Duval, FL",FL01602,Florida,Jacksonville,Municipal police,Yes,2013,October,Murder and non-negligent manslaughter,Single victim/single offender,18.0,Female,Black,Unknown or not reported,19.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Other - not specified,,0,0,"Jacksonville, FL"
201707011NY03030,"New York, NY",NY03030,New York,New York,Municipal police,Yes,2017,July,Murder and non-negligent manslaughter,Single victim/single offender,48.0,Male,White,Not of Hispanic origin,54.0,Male,White,Not of Hispanic origin,Knife or cutting instrument,Friend,Other arguments,,0,0,"New York-New Jersey-Long Island, NY-NJ"
201701008TN01901,"Davidson, TN",TN01901,Tennessee,Nashville,Municipal police,Yes,2017,January,Murder and non-negligent manslaughter,Single victim/multiple offenders,18.0,Male,Black,Not of Hispanic origin,16.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Acquaintance,Circumstances undetermined,,0,2,"Nashville-Davidson-Murfreesboro, TN"
201802001MI32738,"Huron, MI",MI32738,Michigan,Sebewaing,Municipal police,Yes,2018,February,Murder and non-negligent manslaughter,Multiple victims/single offender,21.0,Female,White,Unknown or not reported,61.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Wife,Circumstances undetermined,,1,0,Rural Michigan
201311001CO06202,"Weld, CO",CO06202,Colorado,Greeley,Municipal police,Yes,2013,November,Murder and non-negligent manslaughter,Single victim/single offender,47.0,Female,White,Unknown or not reported,51.0,Male,White,Unknown or not reported,Knife or cutting instrument,Wife,Other arguments,,0,0,"Greeley, CO"
201301001GA05301,"Emanuel, GA",GA05301,Georgia,Swainsboro,Municipal police,No,2013,January,Murder and non-negligent manslaughter,Single victim/unknown offender(s),55.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,All suspected felony type,,0,0,Rural Georgia
201212001IA07703,"Polk, IA",IA07703,Iowa,Des Moines,Municipal police,No,2012,December,Murder and non-negligent manslaughter,Single victim/unknown offender(s),31.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,0,"Des Moines, IA"
201506381FL01200,"Columbia, FL",FL01200,Florida,Columbia County,Sheriff,Yes,2015,June,Murder and non-negligent manslaughter,Single victim/single offender,34.0,Male,White,Unknown or not reported,54.0,Male,White,Unknown or not reported,Shotgun,Relationship not determined,All other manslaughter by negligence,,0,0,Rural Florida
201302011PAPEP00,"Philadelphia, PA",PAPEP00,Pennsylvania,Philadelphia,Municipal police,Yes,2013,February,Murder and non-negligent manslaughter,Single victim/multiple offenders,23.0,Male,Black,Not of Hispanic origin,54.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Other - known to victim,Other arguments,,0,3,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
201112001VA04301,"Henrico, VA",VA04301,Virginia,Henrico County Police D,County police,Yes,2011,December,Murder and non-negligent manslaughter,Single victim/multiple offenders,19.0,Male,Black,Unknown or not reported,,Male,Black,Unknown or not reported,"Firearm, type not stated",Acquaintance,Circumstances undetermined,,0,1,"Richmond, VA"
201801001IL01667,"Cook, IL",IL01667,Illinois,Maywood,Municipal police,Yes,2018,January,Murder and non-negligent manslaughter,Single victim/single offender,48.0,Male,White,Not of Hispanic origin,33.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,0,"Chicago-Naperville-Joliet, IL-IN-WI"
201811001GA03801,"Coweta, GA",GA03801,Georgia,Newnan,Municipal police,Yes,2018,November,Murder and non-negligent manslaughter,Single victim/single offender,22.0,Male,Black,Not of Hispanic origin,21.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Acquaintance,Other arguments,,0,0,"Atlanta-Sandy Springs-Marietta, GA"
201807013MI82349,"Wayne, MI",MI82349,Michigan,Detroit,Municipal police,Yes,2018,July,Murder and non-negligent manslaughter,Single victim/single offender,1.0,Male,Black,Unknown or not reported,21.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,0,"Detroit-Warren-Livonia, MI"
201305017TXHPD00,"Harris, TX",TXHPD00,Texas,Houston,Municipal police,Yes,2013,May,Murder and non-negligent manslaughter,Single victim/single offender,22.0,Male,Black,Not of Hispanic origin,,Male,Black,Not of Hispanic origin,"Firearm, type not stated",Stranger,Other,,0,0,"Houston-Sugar Land-Baytown, TX"
201906001GA06002,"Fulton, GA",GA06002,Georgia,East Point,Municipal police,Yes,2019,June,Murder and non-negligent manslaughter,Single victim/single offender,60.0,Male,Black,Not of Hispanic origin,54.0,Female,Black,Not of Hispanic origin,Knife or cutting instrument,Boyfriend,Other arguments,,0,0,"Atlanta-Sandy Springs-Marietta, GA"
201705001GA02503,"Chatham, GA",GA02503,Georgia,Savannah,Municipal police,No,2017,May,Murder and non-negligent manslaughter,Multiple victims/unknown offender(s),25.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Other,,1,0,"Savannah, GA"
201109005NC06001,"Mecklenburg, NC",NC06001,North Carolina,Charlotte-Mecklenburg,Municipal police,Yes,2011,September,Murder and non-negligent manslaughter,Single victim/single offender,1.0,Male,Black,Not of Hispanic origin,26.0,Female,Black,Not of Hispanic origin,"Personal weapons, includes beating",Acquaintance,Circumstances undetermined,,0,0,"Charlotte-Gastonia-Concord, NC-SC"
201101002PA006SP,"Berks, PA",PA006SP,Pennsylvania,State Police: Berks County,Primary state LE,Yes,2011,January,Murder and non-negligent manslaughter,Single victim/single offender,62.0,Female,White,Not of Hispanic origin,40.0,Male,White,Not of Hispanic origin,"Handgun - pistol, revolver, etc",In-law,Other arguments,,0,0,"Reading, PA"
201504638AL05701,"Russell, AL",AL05701,Alabama,Phenix City,Municipal police,Yes,2015,April,Murder and non-negligent manslaughter,Single victim/single offender,31.0,Male,White,Unknown or not reported,16.0,Male,White,Unknown or not reported,Other or type unknown,Stranger,Circumstances undetermined,,0,0,"Columbus, GA-AL"
201202004MI82349,"Wayne, MI",MI82349,Michigan,Detroit,Municipal police,No,2012,February,Murder and non-negligent manslaughter,Single victim/unknown offender(s),46.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,0,"Detroit-Warren-Livonia, MI"
201001018PAPEP00,"Philadelphia, PA",PAPEP00,Pennsylvania,Philadelphia,Municipal police,Yes,2010,January,Murder and non-negligent manslaughter,Single victim/multiple offenders,27.0,Male,Black,Not of Hispanic origin,19.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Other - known to victim,Robbery,,0,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
201209518FL04800,"Orange, FL",FL04800,Florida,Orange County,Sheriff,Yes,2012,September,Murder and non-negligent manslaughter,Single victim/single offender,53.0,Female,White,Unknown or not reported,20.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Other - not specified,,0,0,"Orlando-Kissimmee, FL"
201908005CA03313,"Riverside, CA",CA03313,California,Riverside,Municipal police,Yes,2019,August,Murder and non-negligent manslaughter,Single victim/single offender,49.0,Male,White,Not of Hispanic origin,45.0,Male,White,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Stranger,Felon killed by police,Felon attacked police officer,0,0,"Riverside-San Bernardino, CA"
201108005LANPD00,"Orleans, LA",LANPD00,Louisiana,New Orleans,Municipal police,No,2011,August,Murder and non-negligent manslaughter,Single victim/unknown offender(s),29.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,0,"New Orleans-Metairie-Kenner, LA"
201607021CA01942,"Los Angeles, CA",CA01942,California,Los Angeles,Municipal police,Yes,2016,July,Murder and non-negligent manslaughter,Single victim/single offender,42.0,Male,Black,Not of Hispanic origin,55.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Other - known to victim,Juvenile gang killings,,0,0,"Los Angeles-Long Beach, CA"
201602004NV00201,"Clark, NV",NV00201,Nevada,Las Vegas Metro Police Department,Municipal police,Yes,2016,February,Murder and non-negligent manslaughter,Single victim/multiple offenders,48.0,Male,White,Not of Hispanic origin,17.0,Male,Asian,Not of Hispanic origin,"Firearm, type not stated",Acquaintance,Other arguments,,0,1,"Las Vegas-Paradise, NV"
201404200FL01201,"Columbia, FL",FL01201,Florida,Lake City,Municipal police,Yes,2014,April,Murder and non-negligent manslaughter,Single victim/single offender,36.0,Female,Black,Unknown or not reported,31.0,Male,Black,Unknown or not reported,Knife or cutting instrument,Relationship not determined,Lovers triangle,,0,0,Rural Florida
201604553FL02900,"Hillsborough, FL",FL02900,Florida,Hillsborough County,Sheriff,Yes,2016,April,Murder and non-negligent manslaughter,Multiple victims/single offender,73.0,Female,White,Unknown or not reported,,Male,White,Unknown or not reported,"Blunt object - hammer, club, etc",Relationship not determined,Other,,1,0,"Tampa-St. Petersburg-Clearwater, FL"
201605001NC07400,"Pitt, NC",NC07400,North Carolina,Pitt County,Sheriff,No,2016,May,Murder and non-negligent manslaughter,Single victim/unknown offender(s),20.0,Female,White,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,Other gun,Relationship not determined,Circumstances undetermined,,0,0,"Greenville, NC"
201002955FL02803,"Highlands, FL",FL02803,Florida,Sebring,Municipal police,No,2010,February,Murder and non-negligent manslaughter,Single victim/unknown offender(s),30.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Other - not specified,,0,0,Rural Florida
201812001KYKSP01,"Graves, KY",KYKSP01,Kentucky,State Police Post 1,Primary state LE,Yes,2018,December,Murder and non-negligent manslaughter,Multiple victims/single offender,38.0,Female,White,Not of Hispanic origin,29.0,Male,White,Unknown or not reported,Rifle,Relationship not determined,Other,,2,0,Rural Kentucky
201903002AKAST01,"Anchorage, AK",AKAST01,Alaska,Alaska State Troopers,Primary state LE,Yes,2019,March,Murder and non-negligent manslaughter,Single victim/single offender,40.0,Male,White,Unknown or not reported,19.0,Male,White,Unknown or not reported,Shotgun,Stepfather,Circumstances undetermined,,0,0,"Anchorage, AK"
201010001AZ00729,"Maricopa, AZ",AZ00729,Arizona,Tempe,Municipal police,No,2010,October,Murder and non-negligent manslaughter,Single victim/unknown offender(s),21.0,Male,White,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Stranger,Robbery,,0,0,"Phoenix-Mesa-Scottsdale, AZ"
201510001CA03313,"Riverside, CA",CA03313,California,Riverside,Municipal police,Yes,2015,October,Murder and non-negligent manslaughter,Multiple victims/single offender,45.0,Male,White,Hispanic origin,20.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Stranger,Circumstances undetermined,,1,0,"Riverside-San Bernardino, CA"
201601001CA04807,"Solano, CA",CA04807,California,Vallejo,Municipal police,No,2016,January,Murder and non-negligent manslaughter,Single victim/unknown offender(s),22.0,Male,White,Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,0,"Vallejo-Fairfield, CA"
201905001PA00240,"Allegheny, PA",PA00240,Pennsylvania,Robinson Township,Municipal police,Yes,2019,May,Murder and non-negligent manslaughter,Single victim/single offender,51.0,Male,White,Not of Hispanic origin,61.0,Male,White,Not of Hispanic origin,"Firearm, type not stated",Friend,Other arguments,,0,0,"Pittsburgh, PA"
201509001ND01400,"Eddy, ND",ND01400,North Dakota,Eddy County,Sheriff,Yes,2015,September,Murder and non-negligent manslaughter,Single victim/single offender,41.0,Male,White,Unknown or not reported,51.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Stranger,Circumstances undetermined,,0,0,Rural North Dakota
201804002TX10200,"Harrison, TX",TX10200,Texas,Harrison County,Sheriff,Yes,2018,April,Murder and non-negligent manslaughter,Single victim/single offender,47.0,Male,White,Unknown or not reported,49.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Acquaintance,Lovers triangle,,0,0,Rural Texas
201409002NC06001,"Mecklenburg, NC",NC06001,North Carolina,Charlotte-Mecklenburg,Municipal police,No,2014,September,Murder and non-negligent manslaughter,Single victim/multiple offenders,22.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Narcotic drug laws,,0,1,"Charlotte-Gastonia-Concord, NC-SC"
201710003CA04313,"Santa Clara, CA",CA04313,California,San Jose,Municipal police,Yes,2017,October,Murder and non-negligent manslaughter,Single victim/multiple offenders,21.0,Male,White,Hispanic origin,20.0,Male,White,Hispanic origin,Knife or cutting instrument,Stranger,Robbery,,0,1,"San Jose-Sunnyvale-Santa Clara, CA"
201909003CA03300,"Riverside, CA",CA03300,California,Riverside County,Sheriff,Yes,2019,September,Murder and non-negligent manslaughter,Single victim/single offender,36.0,Female,White,Hispanic origin,44.0,Male,Asian,Not of Hispanic origin,"Personal weapons, includes beating",Stranger,Circumstances undetermined,,0,0,"Riverside-San Bernardino, CA"
201210002SC01001,"Charleston, SC",SC01001,South Carolina,Charleston,Municipal police,Yes,2012,October,Murder and non-negligent manslaughter,Single victim/multiple offenders,37.0,Male,Black,Unknown or not reported,23.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,1,"Charleston-North Charleston, SC"
201804002NY03301,"Onondaga, NY",NY03301,New York,Syracuse,Municipal police,Yes,2018,April,Murder and non-negligent manslaughter,Single victim/single offender,24.0,Male,Black,Not of Hispanic origin,23.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Acquaintance,Circumstances undetermined,,0,0,"Syracuse, NY"
201805001CA01965,"Los Angeles, CA",CA01965,California,Santa Monica,Municipal police,Yes,2018,May,Murder and non-negligent manslaughter,Single victim/single offender,95.0,Female,White,Not of Hispanic origin,70.0,Male,White,Not of Hispanic origin,"Personal weapons, includes beating",Other - known to victim,Other arguments,,0,0,"Los Angeles-Long Beach, CA"
201605003NB02802,"Douglas, NE",NB02802,Nebraska,Omaha,Municipal police,Yes,2016,May,Murder and non-negligent manslaughter,Single victim/single offender,48.0,Male,American Indian or Alaskan Native,Not of Hispanic origin,32.0,Male,Black,Not of Hispanic origin,Knife or cutting instrument,Other - known to victim,Other arguments,,0,0,"Omaha-Council Bluffs, NE-IA"
201707001VA00203,"Albemarle, VA",VA00203,Virginia,Albemarle County Police Department,County police,Yes,2017,July,Murder and non-negligent manslaughter,Single victim/multiple offenders,24.0,Male,White,Not of Hispanic origin,18.0,Male,White,Unknown or not reported,Other or type unknown,Relationship not determined,Circumstances undetermined,,0,3,"Charlottesville, VA"
201303001TN05701,"Madison, TN",TN05701,Tennessee,Jackson,Municipal police,No,2013,March,Murder and non-negligent manslaughter,Single victim/unknown offender(s),25.0,Male,White,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,0,"Jackson, TN"
201003001LA00901,"Caddo, LA",LA00901,Louisiana,Shreveport,Municipal police,Yes,2010,March,Murder and non-negligent manslaughter,Single victim/single offender,15.0,Male,Black,Unknown or not reported,31.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Stranger,Felon killed by private citizen,Felon killed in commission of a crime,0,0,"Shreveport-Bossier City, LA"
201601391AL00114,"Jefferson, AL",AL00114,Alabama,Pleasant Grove,Municipal police,Yes,2016,January,Murder and non-negligent manslaughter,Single victim/single offender,,Unknown,Unknown,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,Rifle,Relationship not determined,Other - not specified,,0,0,"Birmingham-Hoover, AL"
201608006NV00201,"Clark, NV",NV00201,Nevada,Las Vegas Metro Police Department,Municipal police,No,2016,August,Murder and non-negligent manslaughter,Single victim/single offender,60.0,Female,Asian,Not of Hispanic origin,32.0,Unknown,Unknown,Unknown or not reported,Fire,Relationship not determined,Circumstances undetermined,,0,0,"Las Vegas-Paradise, NV"
